# roots: aimock=97998 (AIMock boot), stack=98259 (npm run dev), runner=1376 (full D6 matrix; the later --demo runner processes were children of this session's shell and are not in this sample set).
# RSS samples (KiB), every 5 s: all descendants of the roots in /private/tmp/claude-501/-Users-tylerslaton-Code-CopilotKit/46e242f6-1b34-4976-b132-d4b1ececf87d/scratchpad/lgp/roots.txt (AIMock boot, LGP stack boot, D6 runner incl. Playwright Chromium). Other agents' processes are excluded by ancestry.
23:08:37 total_kb=137264 root97998_kb=72896 root98259_kb=64368 top=node:72896 load=5.35
23:20:57 total_kb=6911104 root97998_kb=88640 root98259_kb=6822464 root1376_kb=0 top=next-server (v15.5.26):6143328 load=7.76
23:21:03 total_kb=6871088 root97998_kb=88672 root98259_kb=6782416 root1376_kb=0 top=next-server (v15.5.26):6100608 load=7.30
23:21:08 total_kb=6899872 root97998_kb=88672 root98259_kb=6811200 root1376_kb=0 top=next-server (v15.5.26):6128992 load=6.95
23:21:13 total_kb=6906736 root97998_kb=88672 root98259_kb=6818064 root1376_kb=0 top=next-server (v15.5.26):6149904 load=6.56
23:21:18 total_kb=6958656 root97998_kb=88704 root98259_kb=6869952 root1376_kb=0 top=next-server (v15.5.26):6201600 load=6.27
23:21:23 total_kb=6970768 root97998_kb=88720 root98259_kb=6882048 root1376_kb=0 top=next-server (v15.5.26):6210800 load=6.17
23:21:28 total_kb=6975040 root97998_kb=88720 root98259_kb=6886320 root1376_kb=0 top=next-server (v15.5.26):6215056 load=5.68
23:21:33 total_kb=6977472 root97998_kb=88720 root98259_kb=6888752 root1376_kb=0 top=next-server (v15.5.26):6215056 load=5.54
23:21:38 total_kb=6977488 root97998_kb=88720 root98259_kb=6888768 root1376_kb=0 top=next-server (v15.5.26):6215072 load=6.38
23:21:43 total_kb=6981984 root97998_kb=88720 root98259_kb=6893264 root1376_kb=0 top=next-server (v15.5.26):6215072 load=6.27
23:21:48 total_kb=6981984 root97998_kb=88720 root98259_kb=6893264 root1376_kb=0 top=next-server (v15.5.26):6215072 load=12.41
23:21:53 total_kb=6960496 root97998_kb=88720 root98259_kb=6871776 root1376_kb=0 top=next-server (v15.5.26):6215072 load=12.70
23:21:58 total_kb=6960496 root97998_kb=88720 root98259_kb=6871776 root1376_kb=0 top=next-server (v15.5.26):6215072 load=14.81
23:22:03 total_kb=6962928 root97998_kb=88720 root98259_kb=6874208 root1376_kb=0 top=next-server (v15.5.26):6215072 load=13.70
23:22:08 total_kb=6962928 root97998_kb=88720 root98259_kb=6874208 root1376_kb=0 top=next-server (v15.5.26):6215072 load=12.76
# sampler stopped 2026-09-23T23:22:13Z
